무게,단가,날짜
25434,3015.714286,2010-12-05
186840,3061.714286,2010-12-06
323892,3038.714286,2010-12-07
275760,1848.142857,2010-12-08
103104,5189.285714,2010-12-09
58284,5001.285714,2010-12-10
748170,3300,2010-12-11
113760,2897,2010-12-12
96174,2799.428571,2010-12-13
166158,2880.714286,2010-12-14
21096,5099.857143,2010-12-15
8568,2562.571429,2010-12-16
25992,3956,2010-12-17
210996,3909.714286,2010-12-18
192204,4025.857143,2010-12-19
224226,5567.142857,2010-12-20
0,0,2010-12-21
189,3170.142857,2010-12-22
0,0,2010-12-23
324,231.8571429,2010-12-24
42390,2698,2010-12-25
17298,1229.428571,2010-12-26
43416,5357.714286,2010-12-27
18414,4611.857143,2010-12-28
277596,3573,2010-12-29
648,694.7142857,2010-12-30
45108,4114,2010-12-31
0,0,2011-01-01
0,0,2011-01-02
10080,8107.5,2011-01-03
69894,5999,2011-01-04
0,0,2011-01-05
27072,7505,2011-01-06
13050,6465.75,2011-01-07
3024,1292,2011-01-08
0,0,2011-01-09
998136,4502,2011-01-10
943320,2779.285714,2011-01-11
102783,2772.428571,2011-01-12
87480,4160.857143,2011-01-13
114930,3861.714286,2011-01-14
379080,4310.857143,2011-01-15
0,0,2011-01-16
72882,1607.857143,2011-01-17
0,0,2011-01-18
119106,4807.285714,2011-01-19
131832,4780.571429,2011-01-20
67932,4531.142857,2011-01-21
45483,4767.285714,2011-01-22
94248,3507.857143,2011-01-23
363888,3908.571429,2011-01-24
67842,3784.571429,2011-01-25
105210,3314.714286,2011-01-26
530964,3006,2011-01-27
268215,3207.285714,2011-01-28
432630,3268,2011-01-29
348624,3123.428571,2011-01-30
631188,2289,2011-01-31
95994,2664.714286,2011-02-01
0,0,2011-02-02
0,0,2011-02-03
0,0,2011-02-04
0,0,2011-02-05
0,0,2011-02-06
2646,396.7142857,2011-02-07
777462,2442.714286,2011-02-08
427560,2603.857143,2011-02-09
191556,2964,2011-02-10
124434,3088.714286,2011-02-11
30222,3193.714286,2011-02-12
0,0,2011-02-13
240732,4763.857143,2011-02-14
98191,4418.857143,2011-02-15
104112,3681.142857,2011-02-16
57654,2741.571429,2011-02-17
21528,284.1428571,2011-02-18
720,907.5714286,2011-02-19
0,0,2011-02-20
8082,672.4285714,2011-02-21
81972,225.2857143,2011-02-22
500904,3970.714286,2011-02-23
527868,3350,2011-02-24
298134,3156.571429,2011-02-25
727380,4093.428571,2011-02-26
0,0,2011-02-27
1220778,2594.428571,2011-02-28
162954,3033,2011-03-01
280890,3317.714286,2011-03-02
12744,5025.285714,2011-03-03
367740,3078.714286,2011-03-04
289860,3408.857143,2011-03-05
0,0,2011-03-06
779184,3375.571429,2011-03-07
195066,3268.142857,2011-03-08
48258,1778.714286,2011-03-09
346932,3959.714286,2011-03-10
243054,4609,2011-03-11
328752,2706,2011-03-12
0,0,2011-03-13
154392,2953.428571,2011-03-14
31122,3851,2011-03-15
4158,4345,2011-03-16
0,0,2011-03-17
63054,4761,2011-03-18
25758,5145,2011-03-19
0,0,2011-03-20
0,0,2011-03-21
10980,128.8571429,2011-03-22
4302,273,2011-03-23
900,238.1428571,2011-03-24
131220,3842.714286,2011-03-25
97686,4983.714286,2011-03-26
0,0,2011-03-27
203022,2853,2011-03-28
146718,2724.285714,2011-03-29
194058,3378.571429,2011-03-30
0,0,2011-03-31
321156,3391.857143,2011-04-01
302652,2975.571429,2011-04-02
0,0,2011-04-03
302022,3036.571429,2011-04-04
534456,3134.285714,2011-04-05
105498,3805.857143,2011-04-06
346284,3146.142857,2011-04-07
87354,7373.428571,2011-04-08
120888,3859.142857,2011-04-09
0,0,2011-04-10
722556,5851.285714,2011-04-11
25092,3749.285714,2011-04-12
0,0,2011-04-13
49806,4328,2011-04-14
88758,4305.142857,2011-04-15
34884,4126.142857,2011-04-16
0,0,2011-04-17
25596,3423.285714,2011-04-18
1854,166.5714286,2011-04-19
18,293.7142857,2011-04-20
0,0,2011-04-21
0,0,2011-04-22
0,0,2011-04-23
0,0,2011-04-24
0,0,2011-04-25
0,0,2011-04-26
2520,238.1428571,2011-04-27
0,0,2011-04-28
1800,198.4285714,2011-04-29
0,0,2011-04-30
0,0,2011-05-01
0,0,2011-05-02
3204,143.1428571,2011-05-03
47559,3726.142857,2011-05-04
17388,4213.714286,2011-05-05
37260,3916,2011-05-06
20628,4537.857143,2011-05-07
0,0,2011-05-08
0,0,2011-05-09
32778,2963.857143,2011-05-10
0,0,2011-05-11
4824,87.28571429,2011-05-12
756,79.42857143,2011-05-13
18738,4673.428571,2011-05-14
0,0,2011-05-15
1911,5812.142857,2011-05-16
12978,5007.142857,2011-05-17
450,138.8571429,2011-05-18
0,0,2011-05-19
6534,112.2857143,2011-05-20
0,0,2011-05-21
0,0,2011-05-22
8658,7478.714286,2011-05-23
56304,4534.428571,2011-05-24
19476,3837.714286,2011-05-25
127692,3709.857143,2011-05-26
41598,4322.571429,2011-05-27
0,0,2011-05-28
0,0,2011-05-29
182250,2313.142857,2011-05-30
69354,2342.428571,2011-05-31
101583,2250.571429,2011-06-01
104598,3017,2011-06-02
105084,2475.571429,2011-06-03
82638,3592.714286,2011-06-04
0,0,2011-06-05
195372,3293.428571,2011-06-06
26400,4092.571429,2011-06-07
16848,5775.142857,2011-06-08
129996,3537.714286,2011-06-09
10404,5623.714286,2011-06-10
24933,6513.142857,2011-06-11
0,0,2011-06-12
101286,3770.857143,2011-06-13
33390,4016,2011-06-14
47484,4312.142857,2011-06-15
39150,4091.142857,2011-06-16
0,0,2011-06-17
0,0,2011-06-18
0,0,2011-06-19
21,34,2011-06-20
0,0,2011-06-21
137625,3513.428571,2011-06-22
51720,3459.571429,2011-06-23
24426,4238.142857,2011-06-24
0,0,2011-06-25
0,0,2011-06-26
48870,4406.428571,2011-06-27
0,0,2011-06-28
12981,5442.857143,2011-06-29
55350,3582.714286,2011-06-30
0,0,2011-07-01
0,0,2011-07-02
0,0,2011-07-03
131838,2680.142857,2011-07-04
25356,4568.428571,2011-07-05
19572,5334,2011-07-06
25938,5155.571429,2011-07-07
17730,5123.285714,2011-07-08
45234,5340.285714,2011-07-09
0,0,2011-07-10
22518,4960.714286,2011-07-11
18774,3987.428571,2011-07-12
66852,4230.428571,2011-07-13
73206,3859.428571,2011-07-14
0,0,2011-07-15
0,0,2011-07-16
0,0,2011-07-17
0,0,2011-07-18
0,0,2011-07-19
0,0,2011-07-20
137862,3277.142857,2011-07-21
114588,3058.428571,2011-07-22
187218,2701.142857,2011-07-23
0,0,2011-07-24
624696,2112.714286,2011-07-25
0,0,2011-07-26
315054,2649.714286,2011-07-27
107586,2481.142857,2011-07-28
76392,3389.714286,2011-07-29
123516,2719.857143,2011-07-30
0,0,2011-07-31
733848,2934.714286,2011-08-01
292788,2300.285714,2011-08-02
301314,2660.142857,2011-08-03
929268,2598,2011-08-04
948522,2707,2011-08-05
283260,3124.285714,2011-08-06
0,0,2011-08-07
111744,3651.714286,2011-08-08
98838,3145.428571,2011-08-09
192672,4075.571429,2011-08-10
112590,4788.285714,2011-08-11
289548,3755.142857,2011-08-12
199530,4399.571429,2011-08-13
0,0,2011-08-14
424980,4200.285714,2011-08-15
4698,91.28571429,2011-08-16
5796,95.28571429,2011-08-17
2646,91.28571429,2011-08-18
342,76.42857143,2011-08-19
218394,4150.857143,2011-08-20
0,0,2011-08-21
689058,2679.857143,2011-08-22
310704,2675.714286,2011-08-23
176022,3204.428571,2011-08-24
149508,3244.571429,2011-08-25
240516,3318.857143,2011-08-26
203688,2785.857143,2011-08-27
0,0,2011-08-28
342864,3337,2011-08-29
203022,3022,2011-08-30
612234,3865.857143,2011-08-31
1207122,3235.714286,2011-09-01
493950,3326.428571,2011-09-02
964926,2273.714286,2011-09-03
685512,2400.857143,2011-09-04
1589634,2223.142857,2011-09-05
1655010,2575.285714,2011-09-06
1212942,2451.142857,2011-09-07
1987014,2442.571429,2011-09-08
1687782,1923.714286,2011-09-09
1490754,1986.428571,2011-09-10
832728,2477.428571,2011-09-11
0,0,2011-09-12
0,0,2011-09-13
0,0,2011-09-14
0,0,2011-09-15
2988,126.7142857,2011-09-16
0,0,2011-09-17
0,0,2011-09-18
811554,2451,2011-09-19
210726,2861.571429,2011-09-20
90000,2575.428571,2011-09-21
710280,2853.714286,2011-09-22
418344,2767,2011-09-23
958230,2436.285714,2011-09-24
0,0,2011-09-25
1216440,2358.857143,2011-09-26
909036,2169.571429,2011-09-27
645282,2348,2011-09-28
1073658,1859,2011-09-29
652422,1899.714286,2011-09-30
1516290,1817,2011-10-01
733026,1988.571429,2011-10-02
3070518,1957.285714,2011-10-03
2161698,2499.428571,2011-10-04
2449044,3223.428571,2011-10-05
1864404,2611.857143,2011-10-06
1064496,2654.714286,2011-10-07
1642338,2041.285714,2011-10-08
2418054,1620,2011-10-09
